Dataset_size,kmeans_seed,split_seed,Jsc
25,1,42,0.994
25,1,77,0.937
25,1,123,0.964
25,1,999,0.98
25,1,0,0.969
25,1,1,0.927
25,1,2024,0.955
25,1,1234,0.956
25,1,8080,0.977
25,1,888,0.987
25,42,42,0.953
25,42,77,0.992
25,42,123,0.977
25,42,999,0.984
25,42,0,0.988
25,42,1,0.985
25,42,2024,0.991
25,42,1234,0.991
25,42,8080,0.975
25,42,888,0.976
25,77,42,0.954
25,77,77,0.968
25,77,123,0.992
25,77,999,0.973
25,77,0,0.98
25,77,1,0.965
25,77,2024,0.966
25,77,1234,0.981
25,77,8080,0.981
25,77,888,0.95
25,123,42,0.978
25,123,77,0.986
25,123,123,0.953
25,123,999,0.969
25,123,0,0.975
25,123,1,0.985
25,123,2024,0.978
25,123,1234,0.984
25,123,8080,0.936
25,123,888,0.993
25,999,42,0.97
25,999,77,0.974
25,999,123,0.983
25,999,999,0.979
25,999,0,0.955
25,999,1,0.977
25,999,2024,0.97
25,999,1234,0.979
25,999,8080,0.961
25,999,888,0.983
25,0,42,0.977
25,0,77,0.981
25,0,123,0.978
25,0,999,0.966
25,0,0,0.996
25,0,1,0.907
25,0,2024,0.957
25,0,1234,0.969
25,0,8080,0.969
25,0,888,0.977
25,1234,42,0.995
25,1234,77,0.973
25,1234,123,0.984
25,1234,999,0.967
25,1234,0,0.978
25,1234,1,0.982
25,1234,2024,0.988
25,1234,1234,0.997
25,1234,8080,0.961
25,1234,888,0.989
25,2024,42,0.989
25,2024,77,0.979
25,2024,123,0.967
25,2024,999,0.974
25,2024,0,0.56
25,2024,1,0.984
25,2024,2024,0.967
25,2024,1234,0.99
25,2024,8080,0.978
25,2024,888,0.98
25,8080,42,0.976
25,8080,77,0.975
25,8080,123,0.985
25,8080,999,0.978
25,8080,0,0.982
25,8080,1,0.974
25,8080,2024,0.958
25,8080,1234,0.976
25,8080,8080,0.974
25,8080,888,0.977
25,888,42,0.958
25,888,77,0.967
25,888,123,0.968
25,888,999,0.989
25,888,0,0.965
25,888,1,0.958
25,888,2024,0.966
25,888,1234,0.991
25,888,8080,0.991
25,888,888,0.982
50,1,42,0.974
50,1,77,0.983
50,1,123,0.99
50,1,999,0.978
50,1,0,0.958
50,1,1,0.989
50,1,2024,0.989
50,1,1234,0.992
50,1,8080,0.985
50,1,888,0.988
50,42,42,0.982
50,42,77,0.986
50,42,123,0.979
50,42,999,0.98
50,42,0,0.977
50,42,1,0.981
50,42,2024,0.98
50,42,1234,0.986
50,42,8080,0.962
50,42,888,0.978
50,77,42,0.98
50,77,77,0.989
50,77,123,0.966
50,77,999,0.998
50,77,0,0.994
50,77,1,0.97
50,77,2024,0.987
50,77,1234,0.974
50,77,8080,0.97
50,77,888,0.979
50,123,42,0.988
50,123,77,0.995
50,123,123,0.96
50,123,999,0.986
50,123,0,0.989
50,123,1,0.968
50,123,2024,0.991
50,123,1234,0.985
50,123,8080,0.983
50,123,888,0.983
50,999,42,0.979
50,999,77,0.991
50,999,123,0.98
50,999,999,0.981
50,999,0,0.972
50,999,1,0.975
50,999,2024,0.981
50,999,1234,0.976
50,999,8080,0.986
50,999,888,0.992
50,0,42,0.991
50,0,77,0.989
50,0,123,0.971
50,0,999,0.983
50,0,0,0.99
50,0,1,0.974
50,0,2024,0.979
50,0,1234,0.971
50,0,8080,0.981
50,0,888,0.979
50,1234,42,0.986
50,1234,77,0.99
50,1234,123,0.975
50,1234,999,0.985
50,1234,0,0.987
50,1234,1,0.976
50,1234,2024,0.988
50,1234,1234,0.985
50,1234,8080,0.969
50,1234,888,0.987
50,2024,42,0.989
50,2024,77,0.986
50,2024,123,0.974
50,2024,999,0.985
50,2024,0,0.983
50,2024,1,0.973
50,2024,2024,0.986
50,2024,1234,0.977
50,2024,8080,0.969
50,2024,888,0.983
50,8080,42,0.977
50,8080,77,0.991
50,8080,123,0.953
50,8080,999,0.987
