image_name,STAT_e,STAT_n_D,STAT_n_A,STAT_CC_D,STAT_CC_A,ABS_wf_D,ABS_f_D,DISS_wf10_D,DISS_f10_D,CT_f_e_conn,CT_f_conn_D_An,CT_f_conn_A_Ca,CT_e_conn,CT_e_D_An,CT_e_A_Ca,CT_f_D_tort1,CT_f_A_tort1,FF(P3HT:PCBM)
data_chi_2.330_phi_0.556_Results/399.txt,468189,3469150,5051180,1,1,0.270842,0.407161,0.516952,0.894079,1,1,1,468189,462638,472508,0.401217,0.501683,0.4946463848281311
data_chi_2.980_phi_0.500_Results/2.txt,1622390,4450620,4069700,1,1,0.342772,0.522354,0.815583,1,1,1,1,1622390,1612980,1578970,0.186166,0.184961,0.523163580246914
data_chi_2.590_phi_0.640_Results/47.txt,760729,2202360,6317960,81,1,0.177432,0.258483,0.767904,1,0.476957,0.544604,1,362835,337918,823564,0.458802,0.422269,0.4610178817056397
data_chi_2.200_phi_0.500_Results/2.txt,1225420,5004350,3515970,1,8,0.382913,0.587343,0.738048,0.999946,0.999682,1,0.99996,1225040,1253990,1172780,0.235592,0.207199,0.51057412167952
data_chi_2.850_phi_0.626_Results/17.txt,1052100,2407050,6113270,28,1,0.19286,0.282507,0.817034,1,0.951936,0.960371,1,1001530,902562,1148780,0.230289,0.325343,0.4928162937694392
data_chi_2.200_phi_0.500_Results/11.txt,844209,5221580,3298740,1,2,0.398728,0.612838,0.627388,0.996565,0.999796,1,0.999967,844037,864564,815901,0.303728,0.258049, 0.49890266652035553
data_chi_2.330_phi_0.640_Results/417.txt,404533,2157280,6363040,18,1,0.172816,0.253192,0.606747,0.948409,0.477036,0.540531,1,192977,188613,420059,0.570115,0.563752,0.45087158628704244
data_chi_2.460_phi_0.626_Results/71.txt,688219,2339670,6180650,31,1,0.187498,0.274599,0.733782,0.99999,0.710345,0.747454,1,488873,459743,731962,0.3367,0.43275,0.4535669975186104
data_chi_2.720_phi_0.528_Results/28.txt,1142110,3892630,4627690,1,1,0.301784,0.456865,0.760394,0.999973,1,1,1,1142110,1115830,1152670,0.215675,0.242783,0.509592391304348
data_chi_2.850_phi_0.640_Results/18.txt,959985,2134100,6386230,81,1,0.17282,0.250471,0.819064,1,0.771398,0.80721,1,740531,662735,1061450,0.294053,0.368426, 0.4827296530656775
data_chi_2.590_phi_0.584_Results/69.txt,771661,3198440,5321880,1,1,0.250822,0.37539,0.698939,0.999912,1,1,1,771661,745048,793843,0.254104,0.36473,0.5036190965092403
data_chi_2.460_phi_0.500_Results/2.txt,1347640,4799520,3720800,1,4,0.368194,0.563303,0.766906,1,0.999679,1,0.999932,1347210,1367680,1296700,0.217595,0.198554,0.5147701149425288
data_chi_2.460_phi_0.640_Results/387.txt,403001,2527540,5992780,7,1,0.201532,0.296649,0.554424,0.908556,0.76675,0.807035,1,309001,301588,414424,0.374819,0.63535,0.454262968669748
data_chi_2.200_phi_0.500_Results/229.txt,640085,4315900,4204420,1,1,0.334356,0.506541,0.574797,0.97605,1,1,1,640085,640413,635877,0.334841,0.349806, 0.5038867215720271
data_chi_2.200_phi_0.570_Results/207.txt,552233,2403940,6116380,3,1,0.192424,0.282142,0.673157,0.993927,0.977966,0.980963,1,540065,515380,575867,0.266254,0.4669,0.4810055865921788
data_chi_2.850_phi_0.570_Results/12.txt,1247020,2853310,5667010,3,1,0.225714,0.334883,0.824973,1,0.998747,0.99919,1,1245460,1144880,1326050,0.203145,0.262185,0.507828418230563
data_chi_2.330_phi_0.500_Results/3.txt,1152110,4951320,3569000,1,1,0.379097,0.581119,0.724834,0.999875,1,1,1,1152110,1176320,1109040,0.243094,0.214269, 0.5081045172719221
data_chi_2.460_phi_0.640_Results/85.txt,626397,2213080,6307240,48,1,0.178441,0.259741,0.724066,0.999709,0.530004,0.593447,1,331993,315011,666273,0.437727,0.472986, 0.43474956822107086
data_chi_2.460_phi_0.514_Results/63.txt,879265,4074620,4445700,1,2,0.315911,0.478224,0.686129,0.999801,0.999882,1,0.999992,879161,871130,879558,0.260853,0.301091,0.5073443263180734
data_chi_2.850_phi_0.626_Results/416.txt,372833,3048510,5471810,1,1,0.240857,0.357793,0.47232,0.820416,1,1,1,372833,367298,377945,0.41108,0.723731,0.5022222222222222
data_chi_2.720_phi_0.640_Results/31.txt,892983,2316920,6203400,46,1,0.185769,0.271929,0.791748,1,0.805994,0.833799,1,719739,656842,971571,0.278299,0.375601,0.476711533998608
data_chi_2.980_phi_0.500_Results/414.txt,438053,4266250,4254070,1,1,0.329029,0.500714,0.430322,0.78379,1,1,1,438053,437918,437365,0.471487,0.448102,0.484214876033058
data_chi_2.200_phi_0.584_Results/255.txt,489179,2164010,6356310,13,1,0.174745,0.253982,0.665573,0.988049,0.633079,0.668964,1,309689,297108,512059,0.420906,0.515574,0.438857142857143
data_chi_2.720_phi_0.640_Results/47.txt,809997,2534930,5985390,19,1,0.201564,0.297516,0.756983,1,0.914098,0.929034,1,740417,691736,862508,0.258077,0.394445,0.472602914855536
data_chi_2.850_phi_0.528_Results/11.txt,1391250,3661690,4858630,1,1,0.284924,0.42976,0.810991,1,1,1,1,1391250,1333120,1419730,0.189453,0.215589,0.516372629843364
data_chi_2.590_phi_0.584_Results/34.txt,995925,2891380,5628940,4,1,0.228073,0.339352,0.777596,0.999984,0.992801,0.993972,1,988755,925814,1050520,0.221412,0.30986,0.498092275790565
data_chi_2.330_phi_0.612_Results/343.txt,436363,2570480,5949840,2,1,0.203557,0.301689,0.57717,0.93596,0.98768,0.992549,1,430987,417984,449194,0.38559,0.585889,0.504607046070461
data_chi_2.720_phi_0.500_Results/4.txt,1374420,4471080,4049240,1,1,0.344607,0.524755,0.781633,1,1,1,1,1374420,1373880,1344350,0.208609,0.201652,0.516571428571429
